date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:46:00	33943/33943	---MCZ	200	added ('OK')	text/html	etag:%22739-1620301091;gz%22	https://webinar.smartenwave.com/mmc/	C:/yk/webinar.smartenwave.com/mmc/index.html	(from )
17:46:00	70/70	---MCZ	200	added ('OK')	text/plain	etag:%22638-1620231294;gz%22	https://webinar.smartenwave.com/robots.txt		(from )
17:46:02	704/704	---M-Z	200	added ('OK')	text/css	etag:%222c0-6080ec8a-0;gz%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/landing-page/templates/css/base.css?ver=2.0.52	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/landing-page/templates/css/basef2a0.css	(from https://webinar.smartenwave.com/mmc/)
17:46:03	58171/58171	---MCZ	200	added ('OK')	text/css	date:Tue,%2006%20Apr%202021%2023:50:28%20GMT	https://c0.wp.com/c/5.7.1/wp-includes/css/dist/block-library/style.min.css	C:/yk/c0.wp.com/c/5.7.1/wp-includes/css/dist/block-library/style.min.css	(from https://webinar.smartenwave.com/mmc/)
17:46:04	2714/2714	---MCZ	200	added ('OK')	text/css	date:Tue,%2002%20Feb%202021%2005:17:13%20GMT	https://c0.wp.com/c/5.7.1/wp-includes/css/dist/block-library/theme.min.css	C:/yk/c0.wp.com/c/5.7.1/wp-includes/css/dist/block-library/theme.min.css	(from https://webinar.smartenwave.com/mmc/)
17:46:05	25427/25427	---M-Z	200	added ('OK')	text/css	etag:%226353-60811325-0;gz%22	https://webinar.smartenwave.com/wp-content/plugins/salert//assets/backend/css/animate.css?ver=1.1.8	C:/yk/webinar.smartenwave.com/wp-content/plugins/salert/assets/backend/css/animateda20.css	(from https://webinar.smartenwave.com/mmc/)
17:46:08	2812/2812	---M-Z	200	added ('OK')	text/css	etag:%22afc-60811325-0;gz%22	https://webinar.smartenwave.com/wp-content/plugins/salert//assets/frontend/css/style.css?ver=5.7.1	C:/yk/webinar.smartenwave.com/wp-content/plugins/salert/assets/frontend/css/stylea78f.css	(from https://webinar.smartenwave.com/mmc/)
17:46:10	416464/416464	---M-Z	200	added ('OK')	text/css	etag:%2265ad0-6080ec8a-0;gz%22	https://webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.0.52	C:/yk/webinar.smartenwave.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flatf2a0.css	(from https://webinar.smartenwave.com/mmc/)
17:46:11	155185/155185	---M-Z	200	added ('OK')	text/css	etag:%2225e31-6076b61e-0;gz%22	https://webinar.smartenwave.com/wp-content/themes/twentytwentyone/style.css?ver=1.3	C:/yk/webinar.smartenwave.com/wp-content/themes/twentytwentyone/style4e44.css	(from https://webinar.smartenwave.com/mmc/)
17:46:12	2897/2897	---M-Z	200	added ('OK')	text/css	etag:%22b51-5fae1448-0;gz%22	https://webinar.smartenwave.com/wp-content/themes/twentytwentyone/assets/css/print.css?ver=1.3	C:/yk/webinar.smartenwave.com/wp-content/themes/twentytwentyone/assets/css/print4e44.css	(from https://webinar.smartenwave.com/mmc/)
